1900000000+100000,2023-05-14T13:31:54.249Z,2023-05-14T13:31:55.824Z
1900100000+100000,2023-05-14T13:31:55.826Z,2023-05-14T13:31:57.184Z
1900200000+100000,2023-05-14T13:31:57.184Z,2023-05-14T13:31:58.460Z
1900300000+100000,2023-05-14T13:31:58.461Z,2023-05-14T13:31:59.735Z
1900400000+100000,2023-05-14T13:31:59.735Z,2023-05-14T13:32:00.994Z
1900500000+100000,2023-05-14T13:32:00.994Z,2023-05-14T13:32:02.319Z
1900600000+100000,2023-05-14T13:32:02.319Z,2023-05-14T13:32:03.675Z
1900700000+100000,2023-05-14T13:32:03.675Z,2023-05-14T13:32:05.145Z
1900800000+100000,2023-05-14T13:32:05.145Z,2023-05-14T13:32:06.740Z
1900900000+100000,2023-05-14T13:32:06.740Z,2023-05-14T13:32:08.314Z
1901000000+100000,2023-05-14T13:32:08.315Z,2023-05-14T13:32:09.606Z
1901100000+100000,2023-05-14T13:32:09.606Z,2023-05-14T13:32:10.909Z
1901200000+100000,2023-05-14T13:32:10.909Z,2023-05-14T13:32:12.305Z
1901300000+100000,2023-05-14T13:32:12.305Z,2023-05-14T13:32:13.757Z
1901400000+100000,2023-05-14T13:32:13.757Z,2023-05-14T13:32:15.227Z
1901500000+100000,2023-05-14T13:32:15.227Z,2023-05-14T13:32:16.661Z
1901600000+100000,2023-05-14T13:32:16.661Z,2023-05-14T13:32:18.110Z
1901700000+100000,2023-05-14T13:32:18.110Z,2023-05-14T13:32:19.562Z
1901800000+100000,2023-05-14T13:32:19.562Z,2023-05-14T13:32:20.985Z
1901900000+100000,2023-05-14T13:32:20.985Z,2023-05-14T13:32:22.382Z
1902000000+100000,2023-05-14T13:32:22.382Z,2023-05-14T13:32:24.213Z
1902100000+100000,2023-05-14T13:32:24.214Z,2023-05-14T13:32:25.813Z
1902200000+100000,2023-05-14T13:32:25.813Z,2023-05-14T13:32:27.215Z
1902300000+100000,2023-05-14T13:32:27.215Z,2023-05-14T13:32:28.651Z
1902400000+100000,2023-05-14T13:32:28.651Z,2023-05-14T13:32:30.057Z
1902500000+100000,2023-05-14T13:32:30.057Z,2023-05-14T13:32:31.497Z
1902600000+100000,2023-05-14T13:32:31.497Z,2023-05-14T13:32:33.047Z
1902700000+100000,2023-05-14T13:32:33.048Z,2023-05-14T13:32:34.622Z
1902800000+100000,2023-05-14T13:32:34.622Z,2023-05-14T13:32:36.133Z
1902900000+100000,2023-05-14T13:32:36.133Z,2023-05-14T13:32:37.547Z
1903000000+100000,2023-05-14T13:32:37.548Z,2023-05-14T13:32:39.034Z
1903100000+100000,2023-05-14T13:32:39.034Z,2023-05-14T13:32:40.412Z
1903200000+100000,2023-05-14T13:32:40.412Z,2023-05-14T13:32:41.803Z
1903300000+100000,2023-05-14T13:32:41.803Z,2023-05-14T13:32:43.091Z
1903400000+100000,2023-05-14T13:32:43.091Z,2023-05-14T13:32:44.451Z
1903500000+100000,2023-05-14T13:32:44.452Z,2023-05-14T13:32:45.916Z
1903600000+100000,2023-05-14T13:32:45.916Z,2023-05-14T13:32:47.277Z
1903700000+100000,2023-05-14T13:32:47.277Z,2023-05-14T13:32:48.666Z
1903800000+100000,2023-05-14T13:32:48.666Z,2023-05-14T13:32:50.022Z
1903900000+100000,2023-05-14T13:32:50.023Z,2023-05-14T13:32:51.337Z
1904000000+100000,2023-05-14T13:32:51.337Z,2023-05-14T13:32:52.672Z
1904100000+100000,2023-05-14T13:32:52.672Z,2023-05-14T13:32:54.007Z
1904200000+100000,2023-05-14T13:32:54.007Z,2023-05-14T13:32:55.374Z
1904300000+100000,2023-05-14T13:32:55.374Z,2023-05-14T13:32:56.717Z
1904400000+100000,2023-05-14T13:32:56.717Z,2023-05-14T13:32:58.096Z
1904500000+100000,2023-05-14T13:32:58.096Z,2023-05-14T13:32:59.533Z
1904600000+100000,2023-05-14T13:32:59.533Z,2023-05-14T13:33:00.892Z
1904700000+100000,2023-05-14T13:33:00.892Z,2023-05-14T13:33:02.239Z
1904800000+100000,2023-05-14T13:33:02.240Z,2023-05-14T13:33:03.620Z
1904900000+100000,2023-05-14T13:33:03.621Z,2023-05-14T13:33:04.970Z
1905000000+100000,2023-05-14T13:33:04.970Z,2023-05-14T13:33:06.359Z
